Stan Lee
Samuel L Jackson
Frank Welker
John Ratzenberger
Bob Bergen
Robert Downey
Warwick Davis
Alan Tudyk
Scarlett Johansson
Andy Serkis
Paul Bettany
Chris Evans
Don Cheadle
Zoe Saldana
Dwayne Johnson
Benedict Cumberbatch
Jon Favreau
Jeremy Renner
Idris Elba
Gwyneth Paltrow
Warwick Davis
Frank Welker
John Ratzenberger
Bob Bergen
Alan Tudyk
Hugo Weaving
Jess Harnell
Gary Oldman
Andy Serkis
John Wayne
Charlton Heston
Gregory Peck
Frank Sinatra
Elizabeth Taylor
Richard Burton
James Stewart
Bing Crosby
Clark Gable
William Holden
Cary Grant
Shirley MacLaine
Henry Fonda
Fred MacMurray
Spencer Tracy
Jean Simmons
Jack Lemmon
Marlon Brando
David Niven
Doris Day
Mark Wahlberg
Vin Diesel
Jackie Chan
Shah Rukh Khan
Salman Khan
Akshay Kumar
Lin-Manuel Miranda
Will Smith
Sofía Vergara
