player,loc,unit_id,unit_type,action,unit_name,prev_loc,passing_through
chris,A2,13,ripper_swarms,control,Anna Gross,A2,FALSE
chris,A3,7,tyranid_warriors,control,Gabriel Carpenter,A3,FALSE
chris,A3,8,tyranid_warriors,control,Victor Delgado,A3,FALSE
chris,A4,6,tyranid_warriors,move,Harper Vazquez,A2,FALSE
chris,A5,16,hive_guard,control,Maria Wheeler,A5,FALSE
chris,A5,25,tyrannocyte,control,René Descartes,A5,FALSE
chris,A6,14,ripper_swarms,control,Anaximenes,A6,FALSE
chris,A6,1,flying_hive_tryant,move,John Ratzenberger,A4,TRUE
chris,A7,9,genestealers,control,Brendan O'Brien,A7,FALSE
chris,A8,1,flying_hive_tryant,move,John Ratzenberger,A6,FALSE
chris,A8,10,genestealers,move,Morten Lindberg,A6,FALSE
chris,A8,24,biovores,move,Jose Mcdonald,A6,FALSE
eric,A8,21,canoptek_scarab_swarms,move,Will Smith,E1,FALSE
big_grizz,B1,10,ravenwing_bike_squad,move,Mark Wahlberg,D1,TRUE
big_grizz,B1,11,ravenwing_attack_bike,move,Gary Oldman,D1,TRUE
big_grizz,B1,12,ravenwing_attack_bike,move,Jean Simmons,D1,TRUE
big_grizz,B1,16,ravenwing_apothecary,move,Andy Serkis,D1,TRUE
chris,B11,19,raveners,move,Simone De Beauvoir,B10,TRUE
chris,B11,20,gargoyles,move,X-cessive Ambassador,A7,TRUE
chris,B2,5,neurothrope,move,Wacko Wizard,A3,FALSE
chris,B2,12,hormagaunts,move,Aubree Pearson,A3,FALSE
chris,B2,23,biovores,move,Amelia Logan,A3,FALSE
big_grizz,B4,1,ravenwing_talonmaster,move,Warwick Davis,C1,FALSE
big_grizz,B4,10,ravenwing_bike_squad,move,Mark Wahlberg,B1,FALSE
big_grizz,B4,11,ravenwing_attack_bike,move,Gary Oldman,B1,FALSE
big_grizz,B4,12,ravenwing_attack_bike,move,Jean Simmons,B1,FALSE
big_grizz,B4,16,ravenwing_apothecary,move,Andy Serkis,B1,FALSE
chris,B6,21,gargoyles,move,Richard Dawkins,B11,FALSE
chris,B7,11,termagants,move,Aaliyah Howard,A5,FALSE
chris,B8,4,broodlord,move,Adam Abeshouse,B7,FALSE
chris,B9,3,broodlord,move,John Hill,A7,FALSE
chris,B9,15,ripper_swarms,move,Harrison Fisher,B7,FALSE
