player,loc,unit_id,unit_type,action,unit_name,prev_loc,passing_through
chris,B1,6,tyranid_warriors,move,Izabella Wade,B2,FALSE
chris,B1,7,tyranid_warriors,move,Piper Molina,B3,FALSE
chris,B5,5,neurothrope,defend,Violent Commander,B5,FALSE
chris,B5,15,ripper_swarms,move,Peter Dickinson,B7,FALSE
chris,B6,12,hormagaunts,retreat,Maya Guerra,C1,FALSE
chris,B6,18,venomthropes,retreat,Tyler Huang,C1,FALSE
big_grizz,C1,9,infiltrators,control,Nolan Barrett,C1,FALSE
big_grizz,C2,7,tactical_squad,move,William Lee,D3,FALSE
chris,D2,21,gargoyles,defend,Unlucky Wizard,B1,FALSE
chris,D2,23,biovores,defend,Chase Smith,D2,FALSE
chris,D2,8,tyranid_warriors,move,Nora Harvey,B1,FALSE
chris,D4,1,flying_hive_tryant,move,"The Chef, Man",B1,FALSE
chris,E2,3,broodlord,move,Rob Cavallo,E3,FALSE
chris,E2,10,genestealers,move,Eli Washington,E3,FALSE
chris,E2,11,termagants,move,Kinsley Ellis,B6,FALSE
chris,E2,14,ripper_swarms,move,Natalia Graham,E3,FALSE
chris,E2,2,flying_hive_tryant,retreat,Andy Serkis,F1,FALSE
chris,E2,4,broodlord,retreat,Narada Michael Walden,F1,FALSE
chris,E2,9,genestealers,retreat,Jaxson Hunter,F1,FALSE
chris,E2,13,ripper_swarms,retreat,Nick Bostrom,F1,FALSE
chris,E2,16,hive_guard,retreat,Delilah Daniels,F1,FALSE
chris,E2,19,raveners,retreat,Drew Conway,F1,FALSE
chris,E2,20,gargoyles,retreat,Frank Sinatra,F1,FALSE
chris,E2,22,exocrine,retreat,Brandon Williamson,F1,FALSE
chris,E2,24,biovores,retreat,Luna Wells,F1,FALSE
chris,E2,25,tyrannocyte,retreat,Richard Bach,F1,FALSE
eric,E5,28,canoptek_scarab_swarms,move,Jack Lemmon,F4,FALSE
big_grizz,F1,1,ravenwing_talonmaster,defend,Mighty Contender,F1,FALSE
big_grizz,F1,4,phobos_librarian,defend,"Marina A. Ledin, Victor Ledin",F1,FALSE
big_grizz,F1,8,tactical_squad,defend,Steven Francis,F1,FALSE
big_grizz,F1,10,ravenwing_bike_squad,defend,Frank Welker,F1,FALSE
big_grizz,F1,11,ravenwing_attack_bike,defend,Jon Favreau,F1,FALSE
big_grizz,F1,12,ravenwing_attack_bike,defend,Robert Downey,F1,FALSE
big_grizz,F1,15,invictor_tactical_warsuit,defend,Larry Butler,F1,FALSE
big_grizz,F1,16,ravenwing_apothecary,defend,Don Cheadle,F1,FALSE
big_grizz,F1,19,vindicare_assassin,defend,Adam Abeshouse,F1,FALSE
big_grizz,F1,20,eliminators,defend,T Bone Burnett,F1,FALSE
big_grizz,F1,21,eradicators,defend,Nova Morgan,F1,FALSE
big_grizz,F1,23,rhino,defend,Bob Bergen,F1,FALSE
big_grizz,F1,26,trap,sneak,U Walter Afanasieff,NA,FALSE
big_grizz,F1,27,trap,sneak,Respected Dirk Sobotka,NA,FALSE
eric,F2,27,canoptek_scarab_swarms,defend,Tha Swami,F2,FALSE
eric,F3,1,trazyn_the_infinite,move,Valerie Pacheco,F2,FALSE
eric,F3,2,illuminor_szeras,move,Silas Fowler,F2,FALSE
eric,F3,3,technomancer,move,Mario Bunge,F2,FALSE
eric,F3,4,lychgaurd,move,Jayce Scott,F2,FALSE
eric,F3,5,skorpekh_destroyers,move,Paisley Dunn,F2,FALSE
eric,F3,6,canoptek_plasmacyte,move,Crazy Wanderer,F2,FALSE
eric,F3,7,immortals,move,Max Brooks,F2,FALSE
eric,F3,8,canoptek_spyders,move,Thunderous Killah,F2,FALSE
eric,F3,10,cryptothralls,move,Parker Ruiz,F2,FALSE
eric,F3,11,cryptothralls,move,Eden Wolf,F2,FALSE
eric,F3,12,canoptek_scarab_swarms,move,The Magician,F2,FALSE
eric,F3,13,canoptek_wraiths,move,Paul Bettany,F2,FALSE
big_grizz,F4,14,redemptor_dreadnought,retreat,Lila Wang,F2,FALSE
big_grizz,F8,5,tactical_squad,control,Nicholas Mullins,F8,FALSE
eric,G4,19,immortals,control,Caden Ward,G4,FALSE
eric,G5,21,canoptek_scarab_swarms,retreat,Gentlemen Mastermind,H2,FALSE
big_grizz,H1,2,deathwing_captain,move,Madan Gupta,H3,FALSE
eric,H2,14,deathmarks,defend,Adam Stern,H2,FALSE
eric,H2,17,royal_warden,defend,Addison Watson,H2,FALSE
eric,H2,18,necron_warriors,defend,Carlos Guzman,H2,FALSE
eric,H2,20,canoptek_scarab_swarms,defend,Ghostface Warrior,E5,FALSE
eric,H2,22,night_scythe,defend,Hussain Zaidi Andrews,H2,FALSE
eric,H2,23,overlord,defend,Landon Adkins,H2,FALSE
eric,H2,24,royal_warden,defend,Cameron Mills,H2,FALSE
eric,H2,26,necron_warriors,defend,Sydney Gibson,H2,FALSE
big_grizz,H4,17,deathwing_terminators,move,John Pratt,H5,FALSE
big_grizz,H5,24,trap,sneak,X-cessive Blanton Alspaugh,NA,FALSE
big_grizz,H5,25,trap,sneak,Annoyin’ Mark Ronson,NA,FALSE
big_grizz,H5S,3,techmarine,move,Joshua Shelton,H5,TRUE
big_grizz,H5S,13,dreadnought,move,Nevaeh Fletcher,H5,TRUE
big_grizz,H5S,18,deathwing_knights,move,Morris West,H5,TRUE
big_grizz,H5S,22,storm_raven,move,Spencer Tracy,H5,TRUE
eric,I4,15,night_scythe,move,Richard Burton Sullivan,H2S,FALSE
eric,I4,16,overlord,move,Jesse Kim,H2S,FALSE
eric,I4,25,immortals,move,Ayden Powell,I3,FALSE
big_grizz,I5,6,tactical_squad,retreat,Isabelle Stevenson,I4,FALSE
big_grizz,I5S,3,techmarine,move,Joshua Shelton,H5S,FALSE
big_grizz,I5S,13,dreadnought,move,Nevaeh Fletcher,H5S,FALSE
big_grizz,I5S,18,deathwing_knights,move,Morris West,H5S,FALSE
big_grizz,I5S,22,storm_raven,move,Spencer Tracy,H5S,FALSE
