player,loc,unit_id,unit_type,action,unit_name,prev_loc,passing_through
chris,A1,6,tyranid_warriors,move,Harper Vazquez,A4,FALSE
chris,A4,13,ripper_swarms,move,Anna Gross,A2,FALSE
chris,A5,16,hive_guard,defend,Maria Wheeler,A5,FALSE
chris,A5,25,tyrannocyte,defend,René Descartes,A5,FALSE
chris,A8,14,ripper_swarms,move,Anaximenes,A6,FALSE
big_grizz,B1,1,ravenwing_talonmaster,move,Warwick Davis,B4,TRUE
big_grizz,B1,10,ravenwing_bike_squad,move,Mark Wahlberg,B1,TRUE
big_grizz,B1,11,ravenwing_attack_bike,move,Gary Oldman,B1,TRUE
big_grizz,B1,12,ravenwing_attack_bike,move,Jean Simmons,B1,TRUE
big_grizz,B1,16,ravenwing_apothecary,move,Andy Serkis,B1,TRUE
chris,B11,1,flying_hive_tryant,move,John Ratzenberger,A6,FALSE
chris,B11,17,maleceptor,move,Elise Owens,B9,FALSE
chris,B11,18,venomthropes,move,Andrea Guzman,B9,FALSE
chris,B11,3,broodlord,sneak,John Hill,B9,FALSE
chris,B2,12,hormagaunts,control,Aubree Pearson,B2,FALSE
chris,B2,5,neurothrope,defend,Wacko Wizard,B2,FALSE
chris,B2,23,biovores,defend,Amelia Logan,B2,FALSE
chris,B2,7,tyranid_warriors,move,Gabriel Carpenter,A3,FALSE
chris,B2,4,broodlord,sneak,Adam Abeshouse,B8,FALSE
big_grizz,B3,1,ravenwing_talonmaster,move,Warwick Davis,B1,FALSE
big_grizz,B3,10,ravenwing_bike_squad,move,Mark Wahlberg,B1,FALSE
big_grizz,B3,11,ravenwing_attack_bike,move,Gary Oldman,B1,FALSE
big_grizz,B3,12,ravenwing_attack_bike,move,Jean Simmons,B1,FALSE
big_grizz,B3,16,ravenwing_apothecary,move,Andy Serkis,B1,FALSE
chris,B3,21,gargoyles,move,Richard Dawkins,B6,FALSE
chris,B5,8,tyranid_warriors,move,Victor Delgado,A3,FALSE
chris,B7,11,termagants,control,Aaliyah Howard,B7,FALSE
chris,B7,22,exocrine,move,Sofia Castillo,B9,FALSE
chris,B9,15,ripper_swarms,control,Harrison Fisher,B9,FALSE
chris,B9,9,genestealers,sneak,Brendan O'Brien,A7,FALSE
big_grizz,C3,8,tactical_squad,move,Cecilia Nguyen,C5,FALSE
