player,loc,unit_id,unit_type,action,unit_name,prev_loc,passing_through
chris,B4,12,hormagaunts,defend,Maya Guerra,B4,FALSE
chris,B4,15,ripper_swarms,defend,Peter Dickinson,B4,FALSE
chris,B4,18,venomthropes,defend,Tyler Huang,B4,FALSE
chris,B4,26,trap,sneak,Master Babyface,NA,FALSE
chris,B5,5,neurothrope,defend,Violent Commander,B5,FALSE
big_grizz,C1,4,phobos_librarian,move,"Marina A. Ledin, Victor Ledin",C3,FALSE
big_grizz,C1,7,tactical_squad,move,William Lee,C2,FALSE
big_grizz,C1,15,invictor_tactical_warsuit,move,Larry Butler,C3,FALSE
big_grizz,C1,19,vindicare_assassin,move,Adam Abeshouse,C3,FALSE
big_grizz,C2,1,ravenwing_talonmaster,move,Mighty Contender,C1,TRUE
big_grizz,C2,10,ravenwing_bike_squad,move,Frank Welker,C1,TRUE
big_grizz,C2,11,ravenwing_attack_bike,move,Jon Favreau,C1,TRUE
big_grizz,C2,12,ravenwing_attack_bike,move,Robert Downey,C1,TRUE
big_grizz,C2,16,ravenwing_apothecary,move,Don Cheadle,C1,TRUE
big_grizz,C5,2,deathwing_captain,move,Madan Gupta,F7,FALSE
big_grizz,C5,20,eliminators,move,T Bone Burnett,C3,FALSE
big_grizz,C5,21,eradicators,move,Nova Morgan,C3,FALSE
chris,D1,6,tyranid_warriors,retreat,Izabella Wade,D3,FALSE
big_grizz,D3,1,ravenwing_talonmaster,move,Mighty Contender,C2,FALSE
big_grizz,D3,10,ravenwing_bike_squad,move,Frank Welker,C2,FALSE
big_grizz,D3,11,ravenwing_attack_bike,move,Jon Favreau,C2,FALSE
big_grizz,D3,12,ravenwing_attack_bike,move,Robert Downey,C2,FALSE
big_grizz,D3,16,ravenwing_apothecary,move,Don Cheadle,C2,FALSE
chris,D4,8,tyranid_warriors,defend,Nora Harvey,D4,FALSE
chris,D4,21,gargoyles,defend,Unlucky Wizard,D4,FALSE
chris,D4,23,biovores,defend,Chase Smith,D4,FALSE
chris,D4,1,flying_hive_tryant,move,"The Chef, Man",D3,FALSE
chris,D4,7,tyranid_warriors,move,Piper Molina,D2,FALSE
