player,loc,unit_id,unit_type,action,unit_name,passing_through
chris,A1,6,tyranid_warriors,move,Destiny Mccoy,FALSE
chris,A4,13,ripper_swarms,move,Sergio Franco,FALSE
chris,A5,16,hive_guard,defend,Aaron Hoffman,FALSE
chris,A5,25,tyrannocyte,defend,Robert Downey Pham,FALSE
chris,A8,14,ripper_swarms,move,Amaya Moran,FALSE
big_grizz,B1,1,ravenwing_talonmaster,move,Drunken Deck,TRUE
big_grizz,B1,10,ravenwing_bike_squad,move,Andy Serkis,TRUE
big_grizz,B1,11,ravenwing_attack_bike,move,Benedict Cumberbatch,TRUE
big_grizz,B1,12,ravenwing_attack_bike,move,Gwyneth Paltrow,TRUE
big_grizz,B1,16,ravenwing_apothecary,move,John Ratzenberger,TRUE
chris,B11,1,flying_hive_tryant,move,Daft Punk Featuring Pharrell Williams & Nile Rodgers,FALSE
chris,B11,17,maleceptor,move,Jake Fox,FALSE
chris,B11,18,venomthropes,move,Jayce Gross,FALSE
chris,B11,3,broodlord,sneak,Neil Dorfsman,FALSE
chris,B2,12,hormagaunts,control,Serenity Harrison,FALSE
chris,B2,5,neurothrope,defend,Vizual Ambassador,FALSE
chris,B2,23,biovores,defend,Brayden Gregory,FALSE
chris,B2,7,tyranid_warriors,move,Roman Maxwell,FALSE
chris,B2,4,broodlord,sneak,Judith Sherman,FALSE
big_grizz,B3,1,ravenwing_talonmaster,move,Drunken Deck,FALSE
big_grizz,B3,10,ravenwing_bike_squad,move,Andy Serkis,FALSE
big_grizz,B3,11,ravenwing_attack_bike,move,Benedict Cumberbatch,FALSE
big_grizz,B3,12,ravenwing_attack_bike,move,Gwyneth Paltrow,FALSE
big_grizz,B3,16,ravenwing_apothecary,move,John Ratzenberger,FALSE
chris,B3,21,gargoyles,move,Samuel L Jackson,FALSE
chris,B5,8,tyranid_warriors,move,Aubree Mccarthy,FALSE
chris,B7,11,termagants,control,Taylor Caldwell,FALSE
chris,B7,22,exocrine,move,Lydia Lane,FALSE
chris,B9,15,ripper_swarms,control,Jean Jacques Rousseau,FALSE
chris,B9,9,genestealers,sneak,Steven Epstein,FALSE
big_grizz,C3,8,tactical_squad,move,Cole Luna,FALSE
big_grizz,C3,20,eliminators,move,James Anthony Carmichael & Lionel Richie,FALSE
big_grizz,C3,21,eradicators,move,Jaxon Neal,FALSE
big_grizz,C3,23,rhino,move,Siddhartha Deb Moore,FALSE
big_grizz,C3,4,phobos_librarian,sneak,"Marina A. Ledin, Victor Ledin",FALSE
big_grizz,C3,15,invictor_tactical_warsuit,sneak,T Bone Burnett,FALSE
big_grizz,C3,19,vindicare_assassin,sneak,David Frost,FALSE
eric,C3,12,canoptek_scarab_swarms,move,Quiet Commander,TRUE
big_grizz,C4,9,infiltrators,sneak,Grace Valencia,FALSE
big_grizz,C5,14,redemptor_dreadnought,reinforce,Chase Espinoza,FALSE
big_grizz,D2,7,tactical_squad,control,Camden Hopkins,FALSE
big_grizz,D4,2,deathwing_captain,control,Alain de Benoist,FALSE
big_grizz,D4,17,deathwing_terminators,control,Theodor Adorno,FALSE
big_grizz,D4,18,deathwing_knights,control,Abraham Eraly,FALSE
chris,E1,24,biovores,move,Harper Steele,FALSE
chris,E1,10,genestealers,sneak,Walter Afanasieff,FALSE
