player,loc,unit_id,unit_type,action,unit_name,passing_through
chris,E2,20,gargoyles,defend,Mark Wahlberg,FALSE
chris,E2,2,flying_hive_tryant,move,The Doobie Brothers,FALSE
chris,E3,19,raveners,move,Ayn Rand,FALSE
eric,E4,20,canoptek_scarab_swarms,move,Wicked Destroyer,FALSE
eric,E5,7,immortals,move,Natalie Vega,FALSE
eric,E5,14,deathmarks,sneak,Danger Mouse,FALSE
eric,F3,1,trazyn_the_infinite,move,Audrey Rosales,FALSE
eric,F3,2,illuminor_szeras,move,Victor Keller,FALSE
eric,F3,4,lychgaurd,move,Addison Manning,FALSE
eric,F3,5,skorpekh_destroyers,move,Caroline Bishop,FALSE
eric,F3,6,canoptek_plasmacyte,move,"The Chef, Criminal",FALSE
eric,F3,9,canoptek_spyders,move,Profound Menace,FALSE
eric,F3,11,cryptothralls,move,Jayden Miranda,FALSE
eric,F3,13,canoptek_wraiths,move,Jeremy Renner,FALSE
eric,F4,3,technomancer,move,Francis Bacon,FALSE
eric,F4,8,canoptek_spyders,move,Smilin’ Conqueror,FALSE
eric,F4,10,cryptothralls,move,Dominic Griffith,FALSE
eric,F7,12,canoptek_scarab_swarms,move,Quiet Commander,FALSE
eric,F7,27,canoptek_scarab_swarms,move,Snakeface RZA,FALSE
eric,G10,25,immortals,move,Joseph Ramirez,FALSE
eric,G7,21,canoptek_scarab_swarms,rejoin,Alan Tudyk,FALSE
eric,G9,19,immortals,move,Mateo Lin,FALSE
big_grizz,H3,3,techmarine,move,Elias Mendoza,FALSE
big_grizz,H3,5,tactical_squad,move,Michelle Cooper,FALSE
big_grizz,H3,13,dreadnought,move,Brian Soto,FALSE
big_grizz,H3,22,storm_raven,move,Foolish Magician,FALSE
eric,H3,28,canoptek_scarab_swarms,reinforce,Thunderous Madman,FALSE
big_grizz,H5,6,tactical_squad,control,George Castillo,FALSE
eric,H5,22,night_scythe,move,Arrogant Hunter,FALSE
eric,H5,23,overlord,move,Samuel Strickland,FALSE
eric,H5,24,royal_warden,move,Isabelle Marquez,FALSE
eric,H5,26,necron_warriors,move,Jade Ellis,FALSE
eric,I4,18,necron_warriors,control,Alyssa Gardner,FALSE
eric,I4,17,royal_warden,move,Hudson Harmon,FALSE
eric,I5,15,night_scythe,move,Pesty Wanderer,FALSE
eric,I5,16,overlord,move,Austin Gonzalez,FALSE
