player,loc,unit_id,unit_type,action,unit_name,passing_through
chris,A2,6,tyranid_warriors,move,Destiny Mccoy,FALSE
chris,A5,13,ripper_swarms,reinforce,Sergio Franco,FALSE
chris,B1,23,biovores,defend,Brayden Gregory,FALSE
chris,B1,8,tyranid_warriors,move,Aubree Mccarthy,FALSE
chris,B1,21,gargoyles,move,Samuel L Jackson,TRUE
chris,B11,9,genestealers,move,Steven Epstein,FALSE
chris,B2,18,venomthropes,move,Jayce Gross,FALSE
chris,B3,7,tyranid_warriors,move,Roman Maxwell,FALSE
chris,B4,1,flying_hive_tryant,move,Daft Punk Featuring Pharrell Williams & Nile Rodgers,FALSE
chris,B4,12,hormagaunts,move,Serenity Harrison,FALSE
chris,B4,21,gargoyles,move,Samuel L Jackson,FALSE
chris,B5,5,neurothrope,reinforce,Vizual Ambassador,FALSE
chris,B5,16,hive_guard,reinforce,Aaron Hoffman,FALSE
chris,B5,25,tyrannocyte,reinforce,Robert Downey Pham,FALSE
chris,B6,4,broodlord,move,Judith Sherman,FALSE
chris,B6,11,termagants,move,Taylor Caldwell,FALSE
chris,B6,22,exocrine,move,Lydia Lane,FALSE
chris,B8,15,ripper_swarms,move,Jean Jacques Rousseau,FALSE
big_grizz,C2,9,infiltrators,control,Grace Valencia,FALSE
big_grizz,D3,7,tactical_squad,move,Camden Hopkins,FALSE
big_grizz,E2,1,ravenwing_talonmaster,move,Drunken Deck,TRUE
big_grizz,E2,10,ravenwing_bike_squad,move,Andy Serkis,TRUE
big_grizz,E2,11,ravenwing_attack_bike,move,Benedict Cumberbatch,TRUE
big_grizz,E2,12,ravenwing_attack_bike,move,Gwyneth Paltrow,TRUE
big_grizz,E2,16,ravenwing_apothecary,move,John Ratzenberger,TRUE
chris,E2,2,flying_hive_tryant,reinforce,The Doobie Brothers,FALSE
chris,E2,17,maleceptor,reinforce,Jake Fox,FALSE
chris,E2,19,raveners,reinforce,Ayn Rand,FALSE
chris,E2,20,gargoyles,reinforce,Mark Wahlberg,FALSE
chris,E3,14,ripper_swarms,move,Amaya Moran,FALSE
chris,E3,24,biovores,move,Harper Steele,FALSE
chris,E4,10,genestealers,control,Walter Afanasieff,FALSE
chris,E4,3,broodlord,reinforce,Neil Dorfsman,FALSE
eric,E5,20,canoptek_scarab_swarms,defend,Wicked Destroyer,FALSE
